2023-07-23 13:43:12,344 Start Time:
2023-07-23 13:43:12,344 20230723-134312
2023-07-23 13:51:30,882 [6,    12] loss: 0.5949
2023-07-23 13:51:30,994 [6,    16] loss: 0.4985
2023-07-23 13:51:31,107 [6,    20] loss: 0.5879
2023-07-23 13:51:31,219 [6,    24] loss: 0.5697
2023-07-23 13:51:31,331 [6,    28] loss: 0.5180
2023-07-23 13:51:31,444 [6,    32] loss: 0.4491
2023-07-23 13:51:31,556 [6,    36] loss: 0.4954
2023-07-23 13:51:31,668 [6,    40] loss: 0.4566
2023-07-23 13:51:31,779 [6,    44] loss: 0.5797
2023-07-23 13:51:31,891 [6,    48] loss: 0.4282
2023-07-23 13:51:32,004 [6,    52] loss: 0.4665
2023-07-23 13:51:32,119 [6,    56] loss: 0.5193
2023-07-23 13:51:32,230 [6,    60] loss: 0.4840
2023-07-23 13:51:32,341 [6,    64] loss: 0.4598
2023-07-23 13:51:32,454 [6,    68] loss: 0.3999
2023-07-23 13:51:32,565 [6,    72] loss: 0.3800
2023-07-23 13:51:32,678 [6,    76] loss: 0.4742
2023-07-23 13:51:32,790 [6,    80] loss: 0.8014
2023-07-23 13:52:02,448 [7,     4] loss: 0.5062
2023-07-23 13:52:02,565 [7,     8] loss: 0.4808
2023-07-23 13:52:02,676 [7,    12] loss: 0.5089
2023-07-23 13:52:02,787 [7,    16] loss: 0.4375
2023-07-23 13:52:02,901 [7,    20] loss: 0.4260
2023-07-23 13:52:03,015 [7,    24] loss: 0.4359
2023-07-23 13:52:03,127 [7,    28] loss: 0.4142
2023-07-23 13:52:03,240 [7,    32] loss: 0.4415
2023-07-23 13:52:03,352 [7,    36] loss: 0.4188
2023-07-23 13:52:03,464 [7,    40] loss: 0.3013
2023-07-23 13:52:03,576 [7,    44] loss: 0.3338
2023-07-23 13:52:03,690 [7,    48] loss: 0.4737
2023-07-23 13:52:03,803 [7,    52] loss: 0.4467
2023-07-23 13:52:03,917 [7,    56] loss: 0.6585
2023-07-23 13:52:04,030 [7,    60] loss: 0.4082
2023-07-23 13:52:04,144 [7,    64] loss: 0.4233
2023-07-23 13:52:04,255 [7,    68] loss: 0.5294
2023-07-23 13:52:04,367 [7,    72] loss: 0.4900
2023-07-23 13:52:04,478 [7,    76] loss: 0.5073
2023-07-23 13:52:04,589 [7,    80] loss: 0.5243
2023-07-23 13:52:34,234 [8,     4] loss: 0.3779
2023-07-23 13:52:34,355 [8,     8] loss: 0.4257
2023-07-23 13:52:34,468 [8,    12] loss: 0.4014
2023-07-23 13:52:34,579 [8,    16] loss: 0.4595
2023-07-23 13:52:34,690 [8,    20] loss: 0.5107
2023-07-23 13:52:34,803 [8,    24] loss: 0.4243
2023-07-23 13:52:34,914 [8,    28] loss: 0.5099
2023-07-23 13:52:35,026 [8,    32] loss: 0.4201
2023-07-23 13:52:35,145 [8,    36] loss: 0.5060
2023-07-23 13:52:35,260 [8,    40] loss: 0.5383
2023-07-23 13:52:35,375 [8,    44] loss: 0.5002
2023-07-23 13:52:35,489 [8,    48] loss: 0.4892
2023-07-23 13:52:35,604 [8,    52] loss: 0.5070
2023-07-23 13:52:35,717 [8,    56] loss: 0.3200
2023-07-23 13:52:35,829 [8,    60] loss: 0.4790
2023-07-23 13:52:35,940 [8,    64] loss: 0.3853
2023-07-23 13:52:36,065 [8,    68] loss: 0.3223
2023-07-23 13:52:36,182 [8,    72] loss: 0.3692
2023-07-23 13:52:36,295 [8,    76] loss: 0.5249
2023-07-23 13:52:36,409 [8,    80] loss: 0.4746
2023-07-23 13:53:06,033 [9,     4] loss: 0.4092
2023-07-23 13:53:06,151 [9,     8] loss: 0.3836
2023-07-23 13:53:06,263 [9,    12] loss: 0.5725
2023-07-23 13:53:06,376 [9,    16] loss: 0.4196
2023-07-23 13:53:06,489 [9,    20] loss: 0.4657
2023-07-23 13:53:06,600 [9,    24] loss: 0.3882
2023-07-23 13:53:06,713 [9,    28] loss: 0.4936
2023-07-23 13:53:06,824 [9,    32] loss: 0.4604
2023-07-23 13:53:06,935 [9,    36] loss: 0.5547
2023-07-23 13:53:07,047 [9,    40] loss: 0.3833
2023-07-23 13:53:07,159 [9,    44] loss: 0.3786
2023-07-23 13:53:07,272 [9,    48] loss: 0.2597
2023-07-23 13:53:07,383 [9,    52] loss: 0.2996
2023-07-23 13:53:07,494 [9,    56] loss: 0.3009
2023-07-23 13:53:07,606 [9,    60] loss: 0.3320
2023-07-23 13:53:07,718 [9,    64] loss: 0.3192
2023-07-23 13:53:07,829 [9,    68] loss: 0.3849
2023-07-23 13:53:07,945 [9,    72] loss: 0.2220
2023-07-23 13:53:08,058 [9,    76] loss: 0.3204
2023-07-23 13:53:08,169 [9,    80] loss: 0.3349
2023-07-23 13:53:37,821 [10,     4] loss: 0.3348
2023-07-23 13:53:37,936 [10,     8] loss: 0.5189
2023-07-23 13:53:38,048 [10,    12] loss: 0.2555
2023-07-23 13:53:38,160 [10,    16] loss: 0.5044
2023-07-23 13:53:38,274 [10,    20] loss: 0.3020
2023-07-23 13:53:38,386 [10,    24] loss: 0.2682
2023-07-23 13:53:38,498 [10,    28] loss: 0.3880
2023-07-23 13:53:38,612 [10,    32] loss: 0.3082
2023-07-23 13:53:38,723 [10,    36] loss: 0.2535
2023-07-23 13:53:38,836 [10,    40] loss: 0.3882
2023-07-23 13:53:38,949 [10,    44] loss: 0.4434
2023-07-23 13:53:39,065 [10,    48] loss: 0.2028
2023-07-23 13:53:39,177 [10,    52] loss: 0.3908
2023-07-23 13:53:39,288 [10,    56] loss: 0.3096
2023-07-23 13:53:39,400 [10,    60] loss: 0.2920
2023-07-23 13:53:39,511 [10,    64] loss: 0.2633
2023-07-23 13:53:39,622 [10,    68] loss: 0.4038
2023-07-23 13:53:39,733 [10,    72] loss: 0.4289
2023-07-23 13:53:39,846 [10,    76] loss: 0.3177
2023-07-23 13:53:39,955 [10,    80] loss: 0.3624
2023-07-23 13:54:09,605 [11,     4] loss: 0.3830
2023-07-23 13:54:09,723 [11,     8] loss: 0.5022
2023-07-23 13:54:09,834 [11,    12] loss: 0.3036
2023-07-23 13:54:09,978 [11,    16] loss: 0.4504
2023-07-23 13:54:10,094 [11,    20] loss: 0.4255
2023-07-23 13:54:10,206 [11,    24] loss: 0.4301
2023-07-23 13:54:10,317 [11,    28] loss: 0.4037
2023-07-23 13:54:10,429 [11,    32] loss: 0.4103
2023-07-23 13:54:10,538 [11,    36] loss: 0.3882
2023-07-23 13:54:10,651 [11,    40] loss: 0.4255
2023-07-23 13:54:10,762 [11,    44] loss: 0.3243
2023-07-23 13:54:10,872 [11,    48] loss: 0.3515
2023-07-23 13:54:10,984 [11,    52] loss: 0.4943
2023-07-23 13:54:11,097 [11,    56] loss: 0.3818
2023-07-23 13:54:11,209 [11,    60] loss: 0.2877
2023-07-23 13:54:11,320 [11,    64] loss: 0.5166
2023-07-23 13:54:11,431 [11,    68] loss: 0.4804
2023-07-23 13:54:11,541 [11,    72] loss: 0.4945
2023-07-23 13:54:11,653 [11,    76] loss: 0.4653
2023-07-23 13:54:11,764 [11,    80] loss: 0.3445
2023-07-23 13:54:54,913 Accuracy of the network on the validation set: 84.78461 %
2023-07-23 13:54:54,915 new_pred 0.847846
2023-07-23 13:54:54,915 best_pred 0.671409
2023-07-23 13:55:23,177 [12,     4] loss: 0.4964
2023-07-23 13:55:23,293 [12,     8] loss: 0.3603
2023-07-23 13:55:23,403 [12,    12] loss: 0.3689
2023-07-23 13:55:23,514 [12,    16] loss: 0.3074
2023-07-23 13:55:23,629 [12,    20] loss: 0.3265
2023-07-23 13:55:23,741 [12,    24] loss: 0.3152
2023-07-23 13:55:23,854 [12,    28] loss: 0.3617
2023-07-23 13:55:23,964 [12,    32] loss: 0.2280
2023-07-23 13:55:24,078 [12,    36] loss: 0.1748
2023-07-23 13:55:24,188 [12,    40] loss: 0.2693
2023-07-23 13:55:24,300 [12,    44] loss: 0.2612
2023-07-23 13:55:24,411 [12,    48] loss: 0.2102
2023-07-23 13:55:24,523 [12,    52] loss: 0.2810
2023-07-23 13:55:24,635 [12,    56] loss: 0.3775
2023-07-23 13:55:24,747 [12,    60] loss: 0.3475
2023-07-23 13:55:24,858 [12,    64] loss: 0.4260
2023-07-23 13:55:24,969 [12,    68] loss: 0.2457
2023-07-23 13:55:25,080 [12,    72] loss: 0.3028
2023-07-23 13:55:25,192 [12,    76] loss: 0.3508
2023-07-23 13:55:25,303 [12,    80] loss: 0.3054
2023-07-23 13:55:54,970 [13,     4] loss: 0.2242
2023-07-23 13:55:55,088 [13,     8] loss: 0.2910
2023-07-23 13:55:55,204 [13,    12] loss: 0.1745
2023-07-23 13:55:55,315 [13,    16] loss: 0.1994
2023-07-23 13:55:55,427 [13,    20] loss: 0.4169
2023-07-23 13:55:55,539 [13,    24] loss: 0.2487
2023-07-23 13:55:55,653 [13,    28] loss: 0.1505
2023-07-23 13:55:55,766 [13,    32] loss: 0.2094
2023-07-23 13:55:55,877 [13,    36] loss: 0.2620
2023-07-23 13:55:55,990 [13,    40] loss: 0.2467
2023-07-23 13:55:56,104 [13,    44] loss: 0.2527
2023-07-23 13:55:56,218 [13,    48] loss: 0.1837
2023-07-23 13:55:56,328 [13,    52] loss: 0.3233
2023-07-23 13:55:56,439 [13,    56] loss: 0.2048
2023-07-23 13:55:56,553 [13,    60] loss: 0.3236
2023-07-23 13:55:56,668 [13,    64] loss: 0.3065
2023-07-23 13:55:56,780 [13,    68] loss: 0.2382
2023-07-23 13:55:56,892 [13,    72] loss: 0.4104
2023-07-23 13:55:57,003 [13,    76] loss: 0.3463
2023-07-23 13:55:57,118 [13,    80] loss: 0.4778
2023-07-23 13:56:26,749 [14,     4] loss: 0.2863
2023-07-23 13:56:26,866 [14,     8] loss: 0.3035
